    0.000000E+000    0.606893E+000 
    0.166667E+001    0.606891E+000 
    0.333333E+001    0.606883E+000 
    0.500000E+001    0.606867E+000 
    0.666667E+001    0.606840E+000 
    0.833333E+001    0.606794E+000 
    0.100000E+002    0.612811E+000 
    0.136000E+002    0.695377E+000 
    0.172000E+002    0.771623E+000 
    0.208000E+002    0.847340E+000 
    0.244000E+002    0.922016E+000 
    0.280000E+002    0.996056E+000 
    0.284000E+002    0.100135E+001 
    0.288000E+002    0.100542E+001 
    0.292000E+002    0.101035E+001 
    0.296000E+002    0.102281E+001 
    0.299990E+002    0.108310E+001 
    0.300010E+002    0.558169E+000 
    0.301990E+002    0.553755E+000 
    0.302010E+002    0.553755E+000 
    0.303990E+002    0.552413E+000 
    0.304010E+002    0.552413E+000 
    0.305990E+002    0.550614E+000 
    0.306010E+002    0.550614E+000 
    0.307990E+002    0.549959E+000 
    0.308010E+002    0.549959E+000 
    0.309990E+002    0.548953E+000 
    0.310010E+002    0.548953E+000 
    0.311990E+002    0.547722E+000 
    0.312010E+002    0.547722E+000 
    0.313990E+002    0.546966E+000 
    0.314010E+002    0.546966E+000 
    0.315990E+002    0.547424E+000 
    0.316010E+002    0.547424E+000 
    0.317990E+002    0.551315E+000 
    0.318010E+002    0.551315E+000 
    0.319990E+002    0.549999E+000 
    0.320010E+002    0.107493E+001 
    0.324000E+002    0.113168E+001 
    0.328000E+002    0.113824E+001 
    0.332000E+002    0.113932E+001 
    0.336000E+002    0.114135E+001 
    0.340000E+002    0.114184E+001 
    0.375000E+002    0.120885E+001 
    0.410000E+002    0.128071E+001 
    0.445000E+002    0.135417E+001 
    0.480000E+002    0.142821E+001 
    0.484000E+002    0.143668E+001 
    0.488000E+002    0.144516E+001 
    0.492000E+002    0.145363E+001 
    0.496000E+002    0.146211E+001 
    0.499990E+002    0.147059E+001 
    0.500010E+002    0.904034E+000 
    0.502000E+002    0.828289E+000 
    0.504000E+002    0.752545E+000 
    0.506000E+002    0.676801E+000 
    0.508000E+002    0.601057E+000 
    0.510000E+002    0.525313E+000 
    0.512000E+002    0.449570E+000 
    0.514000E+002    0.373827E+000 
    0.516000E+002    0.298084E+000 
    0.518000E+002    0.222340E+000 
    0.519990E+002    0.146597E+000 
    0.520010E+002    0.713152E+000 
    0.524000E+002    0.721636E+000 
    0.528000E+002    0.730120E+000 
    0.532000E+002    0.738603E+000 
    0.536000E+002    0.747085E+000 
    0.540000E+002    0.755567E+000 
    0.575000E+002    0.829768E+000 
    0.610000E+002    0.903705E+000 
    0.645000E+002    0.977186E+000 
    0.680000E+002    0.105008E+001 
    0.684000E+002    0.105805E+001 
    0.688000E+002    0.106572E+001 
    0.692000E+002    0.107336E+001 
    0.696000E+002    0.108087E+001 
    0.699990E+002    0.108770E+001 
    0.700010E+002    0.523298E+000 
    0.702857E+002    0.413402E+000 
    0.705714E+002    0.304078E+000 
    0.708571E+002    0.195153E+000 
    0.711429E+002    0.874503E-001 
    0.714286E+002   -0.163740E-001 
    0.717143E+002   -0.107201E+000 
    0.719990E+002   -0.157070E+000 
    0.720010E+002   -0.157070E+000 
    0.721990E+002   -0.151735E+000 
    0.722010E+002   -0.151735E+000 
    0.723990E+002   -0.153969E+000 
    0.724010E+002   -0.153969E+000 
    0.725990E+002   -0.157947E+000 
    0.726010E+002   -0.157947E+000 
    0.727990E+002   -0.161423E+000 
    0.728010E+002   -0.161423E+000 
    0.729990E+002   -0.165754E+000 
    0.730010E+002   -0.165754E+000 
    0.731990E+002   -0.170838E+000 
    0.732010E+002   -0.170838E+000 
    0.733990E+002   -0.176046E+000 
    0.734010E+002   -0.176046E+000 
    0.735990E+002   -0.180719E+000 
    0.736010E+002   -0.180719E+000 
    0.737990E+002   -0.182722E+000 
    0.738010E+002   -0.182722E+000 
    0.739990E+002   -0.190722E+000 
    0.740010E+002    0.334555E+000 
    0.744000E+002    0.378401E+000 
    0.748000E+002    0.374219E+000 
    0.752000E+002    0.365424E+000 
    0.756000E+002    0.357989E+000 
    0.760000E+002    0.349041E+000 
    0.800000E+002    0.340283E+000 
    0.840000E+002    0.337636E+000 
    0.880000E+002    0.336741E+000 
    0.920000E+002    0.336408E+000 
    0.960000E+002    0.336285E+000 
    0.100000E+003    0.336242E+000 
